,question,template,template_id,question_type,query_type,query_variables,bgp_variables,template_structure_graph,triples_list
10,Charles the Bald has how many noble titles?,Count Obj (ent-pred-obj),Count_1,tbd,SelectQuery,[rdflib.term.Variable('value')],{rdflib.term.Variable('obj')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q71231'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P97'), rdflib.term.Variable('obj'))]"
11,How many forewords did John Lasseter author?,Count ent (ent-pred-obj),Count_2,tbd,SelectQuery,[rdflib.term.Variable('value')],{rdflib.term.Variable('sub')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sub'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P2679'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q269214'))]"
12,Which fluorine-containing heterocyclic compound has the largest mass ?,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value),Rank2,tbd,SelectQuery,[rdflib.term.Variable('ent')],"{rdflib.term.Variable('obj'), rdflib.term.Variable('ent')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q193430')), (rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P527'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q650')), (rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P2067'), rdflib.term.Variable('obj'))]"
13,what country whose highest judicial authority is the British Supreme Court for China and Japan starts with letter J, <?S P O ; ?S instanceOf Type ; starts with character >,4,tbd,SelectQuery,"[rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')]","{rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P209'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q3001101')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q3624078')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('sbj_label'))]"
14,The head of state of Bermuda is what?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('answer')],{rdflib.term.Variable('answer')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q23635'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P35'), rdflib.term.Variable('answer'))]"
15,Where is the birthplace of Urban VI which is adjacent to San Giorgio a Crremano?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('answer')],{rdflib.term.Variable('answer')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('answer'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P47'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q72497')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q171626'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P19'), rdflib.term.Variable('answer'))]"
16,Who is the translator of The Jungle Book?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('obj')],{rdflib.term.Variable('obj')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('obj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q5')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q189509'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P655'), rdflib.term.Variable('obj'))]"
17,How many episodes are in the television series Friends?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('sbj')],{rdflib.term.Variable('sbj')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P179'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q79784')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q21191270'))]"
18,"Who are the writers of The Second Coming, whose deathplace is Menton?",tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('answer')],{rdflib.term.Variable('answer')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('answer'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P20'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q180083')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q1754273'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P50'), rdflib.term.Variable('answer'))]"
19,What land are alumni of Francis from?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('answer')],"{rdflib.term.Variable('answer'), rdflib.term.Variable('X')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q450675'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P69'), rdflib.term.Variable('X')), (rdflib.term.Variable('X'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P17'), rdflib.term.Variable('answer'))]"
20,What kind of oil was used in the portrait of Vista geral do Centro S. Paulo 103?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('answer')],"{rdflib.term.Variable('answer'), rdflib.term.Variable('X')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q51099374'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P180'), rdflib.term.Variable('X')), (rdflib.term.Variable('X'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P618'), rdflib.term.Variable('answer'))]"
21,What was William Butler Yeats nominated for in the year 1918?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('obj')],"{rdflib.term.Variable('x'), rdflib.term.Variable('s'), rdflib.term.Variable('obj')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q40213'), rdflib.term.URIRef('http://www.wikidata.org/prop/P1411'), rdflib.term.Variable('s')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P585'), rdflib.term.Variable('x')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/statement/P1411'), rdflib.term.Variable('obj'))]"
22,How long was Shirley Temple the United States Ambassador to Ghana?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('value')],"{rdflib.term.Variable('value'), rdflib.term.Variable('s')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/statement/P39'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q7889302')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q182580'), rdflib.term.URIRef('http://www.wikidata.org/prop/P39'), rdflib.term.Variable('s')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P582'), rdflib.term.Variable('value'))]"
23,Who is the film editor and director of Reservoir Dogs?,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('ans_1'), rdflib.term.Variable('ans_2')]","{rdflib.term.Variable('ans_1'), rdflib.term.Variable('ans_2')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q72962'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P1040'), rdflib.term.Variable('ans_1')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q72962'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P57'), rdflib.term.Variable('ans_2'))]"
24,Who is the mother of Joseph Stalin and Yakov Dzhugashvili and when were they born?,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('value1'), rdflib.term.Variable('value2')]","{rdflib.term.Variable('value1'), rdflib.term.Variable('s'), rdflib.term.Variable('value2')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/statement/P40'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q163816')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q855'), rdflib.term.URIRef('http://www.wikidata.org/prop/P40'), rdflib.term.Variable('s')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P25'), rdflib.term.Variable('value1')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P569'), rdflib.term.Variable('value2'))]"
25,David Beckham is a member of what sports team and how many matches has he played?,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('value1'), rdflib.term.Variable('obj')]","{rdflib.term.Variable('value1'), rdflib.term.Variable('s'), rdflib.term.Variable('obj')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q10520'), rdflib.term.URIRef('http://www.wikidata.org/prop/P54'), rdflib.term.Variable('s')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P1350'), rdflib.term.Variable('value1')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/statement/P54'), rdflib.term.Variable('obj'))]"
26,Is Juan José Ibarretxe a chairperson of FC Barcelona?,tbd,tbd,tbd,AskQuery,[],set(),[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q7156'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P488'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q351738'))]"
27,Were Dutch and Hungarian the official languages of the Holy Roman Empire?,tbd,tbd,tbd,AskQuery,[],set(),[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q12548'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P37'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q7411')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q12548'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P37'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q9067'))]"
28,Does chicken has a heart rate equal to 275?,tbd,tbd,tbd,AskQuery,[rdflib.term.Variable('obj')],{rdflib.term.Variable('obj')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q780'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P3395'), rdflib.term.Variable('obj'))]"
29,How many siblings did Edward III of England have?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('value')],{rdflib.term.Variable('obj')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q129247'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P3373'), rdflib.term.Variable('obj'))]"
30,What is the number of copyrights that Apple owns?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('value')],{rdflib.term.Variable('sub')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sub'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P3931'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q312'))]"
31,Which landlocked country has the highest GDP PPP?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('ent')],"{rdflib.term.Variable('obj'), rdflib.term.Variable('ent')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q123480')), (rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P4010'), rdflib.term.Variable('obj'))]"
32,Which central bank has the highest target interest rate ?,tbd,tbd,tbd,SelectQuery,[rdflib.term.Variable('ent')],"{rdflib.term.Variable('obj'), rdflib.term.Variable('ent')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q4830453')), (rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q66344')), (rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P2661'), rdflib.term.Variable('obj'))]"
33,What is the name of a battle that has the word siege in it.,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')]","{rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q178561')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('sbj_label'))]"
34,What are the city which start with the letter w,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')]","{rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q515')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('sbj_label'))]"
35,Which is the magazine with place of publication in New York City and that contains the word vibe in it's name?,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')]","{rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P291'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q60')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q41298')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('sbj_label'))]"
36,Name a military rank that starts with letter M,tbd,tbd,tbd,SelectQuery,"[rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')]","{rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q5')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P410'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q111837')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('sbj_label'))]"
